Date,Close,Previous Close,Daily Gain,Daily Return,MA_5,MA_20,Trend,Distance_MA20,MA20_Category
2026-08-18,6275.67578125,,,,,,No Signal,,No Signal
2026-08-19,6275.67578125,6275.67578125,0.0,0.0,,,No Signal,,No Signal
2026-08-20,6375.28955078125,6275.67578125,99.61376953125,1.5872994877917157,,,No Signal,,No Signal
2026-08-21,6425.0966796875,6375.28955078125,49.80712890625,0.7812528122765258,,,No Signal,,No Signal
2026-08-24,6375.28955078125,6425.0966796875,-49.80712890625,-0.7751965672938713,6345.40546875,,No Signal,,No Signal
2026-08-26,6325.482421875,6375.28955078125,-49.80712890625,-0.7812528122765258,6355.366796875,,No Signal,,No Signal
2026-08-27,6375.28955078125,6325.482421875,49.80712890625,0.7874044315419372,6375.28955078125,,No Signal,,No Signal
2026-08-28,6450.0,6375.28955078125,74.71044921875,1.17187538893186,6390.231640625,,No Signal,,No Signal
2026-08-31,6475.0,6450.0,25.0,0.3875968992248062,6400.2123046875,,No Signal,,No Signal
2026-09-01,6600.0,6475.0,125.0,1.9305019305019304,6445.15439453125,,No Signal,,No Signal
2026-09-02,6675.0,6600.0,75.0,1.1363636363636365,6515.05791015625,,No Signal,,No Signal
2026-09-03,6775.0,6675.0,100.0,1.4981273408239701,6595.0,,No Signal,,No Signal
2026-09-04,6700.0,6775.0,-75.0,-1.107011070110701,6645.0,,No Signal,,No Signal
2026-09-07,6625.0,6700.0,-75.0,-1.1194029850746268,6675.0,,No Signal,,No Signal
2026-09-08,6675.0,6625.0,50.0,0.7547169811320755,6690.0,,No Signal,,No Signal
2026-09-09,6525.0,6675.0,-150.0,-2.247191011235955,6660.0,,No Signal,,No Signal
2026-09-10,6425.0,6525.0,-100.0,-1.532567049808429,6590.0,,No Signal,,No Signal
2026-09-11,6325.0,6425.0,-100.0,-1.556420233463035,6515.0,,No Signal,,No Signal
2026-09-14,6500.0,6325.0,175.0,2.766798418972332,6490.0,,No Signal,,No Signal
2026-09-15,6400.0,6500.0,-100.0,-1.5384615384615385,6435.0,6478.889965820313,Below MA20,-1.2176463288696118,Near MA20
