Date,Close,Previous Close,Daily Gain,Daily Return,MA_5,MA_20,Trend,Distance_MA20,MA20_Category
2026-08-18,3080.0,,,,,,No Signal,,No Signal
2026-08-19,3080.0,3080.0,0.0,0.0,,,No Signal,,No Signal
2026-08-20,3140.0,3080.0,60.0,1.948051948051948,,,No Signal,,No Signal
2026-08-21,3230.0,3140.0,90.0,2.8662420382165608,,,No Signal,,No Signal
2026-08-24,3180.0,3230.0,-50.0,-1.5479876160990713,3142.0,,No Signal,,No Signal
2026-08-25,3180.0,3180.0,0.0,0.0,3162.0,,No Signal,,No Signal
2026-08-26,3130.0,3180.0,-50.0,-1.5723270440251573,3172.0,,No Signal,,No Signal
2026-08-27,3150.0,3130.0,20.0,0.6389776357827476,3174.0,,No Signal,,No Signal
2026-08-28,3190.0,3150.0,40.0,1.2698412698412698,3166.0,,No Signal,,No Signal
2026-08-31,3250.0,3190.0,60.0,1.8808777429467085,3180.0,,No Signal,,No Signal
2026-09-01,3380.0,3250.0,130.0,4.0,3220.0,,No Signal,,No Signal
2026-09-02,3390.0,3380.0,10.0,0.2958579881656805,3272.0,,No Signal,,No Signal
2026-09-03,3410.0,3390.0,20.0,0.5899705014749262,3324.0,,No Signal,,No Signal
2026-09-04,3390.0,3410.0,-20.0,-0.5865102639296188,3364.0,,No Signal,,No Signal
2026-09-07,3370.0,3390.0,-20.0,-0.5899705014749262,3388.0,,No Signal,,No Signal
2026-09-08,3410.0,3370.0,40.0,1.1869436201780417,3394.0,,No Signal,,No Signal
2026-09-09,3420.0,3410.0,10.0,0.2932551319648094,3400.0,,No Signal,,No Signal
2026-09-10,3320.0,3420.0,-100.0,-2.923976608187134,3382.0,,No Signal,,No Signal
2026-09-11,3270.0,3320.0,-50.0,-1.5060240963855422,3358.0,,No Signal,,No Signal
2026-09-14,3400.0,3270.0,130.0,3.9755351681957185,3364.0,3268.5,Above MA20,4.023252256386722,Far Above MA20
2026-09-15,3320.0,3400.0,-80.0,-2.3529411764705883,3346.0,3280.5,Above MA20,1.2040847431793935,Near MA20
2026-09-16,3330.0,3320.0,10.0,0.30120481927710846,3328.0,3293.0,Above MA20,1.1235955056179776,Near MA20
