Date,Close,Previous Close,Daily Gain,Daily Return,MA_5,MA_20,Trend,Distance_MA20,MA20_Category
2026-08-07,2710.0,,,,,,No Signal,,No Signal
2026-08-10,2620.0,2710.0,-90.0,-3.3210332103321036,,,No Signal,,No Signal
2026-08-11,2610.0,2620.0,-10.0,-0.38167938931297707,,,No Signal,,No Signal
2026-08-12,2590.0,2610.0,-20.0,-0.7662835249042145,,,No Signal,,No Signal
2026-08-13,2590.0,2590.0,0.0,0.0,2624.0,,No Signal,,No Signal
2026-08-14,2620.0,2590.0,30.0,1.1583011583011582,2606.0,,No Signal,,No Signal
2026-08-18,2600.0,2620.0,-20.0,-0.7633587786259541,2602.0,,No Signal,,No Signal
2026-08-19,2600.0,2600.0,0.0,0.0,2600.0,,No Signal,,No Signal
2026-08-20,2610.0,2600.0,10.0,0.38461538461538464,2604.0,,No Signal,,No Signal
2026-08-21,2610.0,2610.0,0.0,0.0,2608.0,,No Signal,,No Signal
2026-08-24,2620.0,2610.0,10.0,0.38314176245210724,2608.0,,No Signal,,No Signal
2026-08-25,2620.0,2620.0,0.0,0.0,2612.0,,No Signal,,No Signal
2026-08-26,2600.0,2620.0,-20.0,-0.7633587786259541,2612.0,,No Signal,,No Signal
2026-08-27,2610.0,2600.0,10.0,0.38461538461538464,2612.0,,No Signal,,No Signal
2026-08-28,2570.0,2610.0,-40.0,-1.532567049808429,2604.0,,No Signal,,No Signal
2026-08-31,2600.0,2570.0,30.0,1.1673151750972763,2600.0,,No Signal,,No Signal
2026-09-01,2610.0,2600.0,10.0,0.38461538461538464,2598.0,,No Signal,,No Signal
2026-09-02,2590.0,2610.0,-20.0,-0.7662835249042145,2596.0,,No Signal,,No Signal
2026-09-03,2600.0,2590.0,10.0,0.3861003861003861,2594.0,,No Signal,,No Signal
2026-09-04,2610.0,2600.0,10.0,0.38461538461538464,2602.0,2609.5,Above MA20,0.019160758766047135,Near MA20
2026-09-07,2610.0,2610.0,0.0,0.0,2604.0,2604.5,Above MA20,0.21117296985985792,Near MA20
