Date,Close,High,Low,Open,Volume
2026-08-18,4150.0,4220.0,4150.0,4200.0,116514200
2026-08-19,4140.0,4190.0,4140.0,4160.0,79287200
2026-08-20,4150.0,4180.0,4140.0,4150.0,74796300
2026-08-21,4220.0,4240.0,4170.0,4170.0,142906200
2026-08-24,4200.0,4220.0,4170.0,4220.0,86046100
2026-08-25,4200.0,4200.0,4200.0,4200.0,0
2026-08-26,4160.0,4190.0,4150.0,4190.0,156162500
2026-08-27,4210.0,4210.0,4130.0,4140.0,66036800
2026-08-28,4250.0,4260.0,4200.0,4220.0,111542000
2026-08-31,4230.0,4280.0,4200.0,4250.0,231356300
2026-09-01,4320.0,4320.0,4230.0,4230.0,191597900
2026-09-02,4360.0,4390.0,4320.0,4350.0,134416100
2026-09-03,4460.0,4460.0,4360.0,4390.0,234996500
2026-09-04,4420.0,4480.0,4420.0,4470.0,95373200
2026-09-07,4390.0,4450.0,4370.0,4450.0,94899700
2026-09-08,4430.0,4430.0,4390.0,4400.0,91930900
2026-09-09,4390.0,4440.0,4370.0,4430.0,125622500
2026-09-10,4370.0,4410.0,4340.0,4390.0,132956900
2026-09-11,4360.0,4360.0,4300.0,4330.0,126557800
2026-09-14,4440.0,4460.0,4260.0,4350.0,229164500
2026-09-15,4340.0,4450.0,4330.0,4440.0,128314600
