Date,Close,High,Low,Open,Volume
2026-08-18,2600.0,2640.0,2600.0,2640.0,80089000
2026-08-19,2600.0,2610.0,2580.0,2600.0,45580300
2026-08-20,2610.0,2620.0,2590.0,2610.0,86747700
2026-08-21,2610.0,2640.0,2610.0,2610.0,72276500
2026-08-24,2620.0,2640.0,2600.0,2620.0,46321100
2026-08-25,2620.0,2620.0,2620.0,2620.0,0
2026-08-26,2600.0,2630.0,2590.0,2630.0,82579200
2026-08-27,2610.0,2610.0,2550.0,2590.0,115845900
2026-08-28,2570.0,2620.0,2570.0,2620.0,78958600
2026-08-31,2600.0,2600.0,2560.0,2570.0,204591800
2026-09-01,2610.0,2630.0,2590.0,2600.0,82430900
2026-09-02,2590.0,2610.0,2560.0,2600.0,105899600
2026-09-03,2600.0,2610.0,2580.0,2600.0,76989700
2026-09-04,2610.0,2630.0,2590.0,2610.0,84953700
2026-09-07,2610.0,2620.0,2600.0,2610.0,42030200
2026-09-08,2650.0,2670.0,2600.0,2620.0,173160300
2026-09-09,2660.0,2680.0,2630.0,2650.0,119056300
2026-09-10,2630.0,2680.0,2620.0,2680.0,87447500
2026-09-11,2600.0,2630.0,2590.0,2620.0,88455300
2026-09-14,2690.0,2690.0,2600.0,2610.0,139730300
2026-09-15,2700.0,2720.0,2670.0,2720.0,142432700
2026-09-16,2660.0,2710.0,2650.0,2700.0,72687900
